id,title,summary,date,content,status,author_id
1,"Стартап FinSight привлек $1 млн инвестиций","Краткое описание: Стартап FinSight привлек $1 млн инвестиций",2025-07-25,"Полная статья: Стартап FinSight привлек $1 млн инвестиций — подробности и аналитика.",active,
2,"Astana Ventures запускает новый фонд","Краткое описание: Astana Ventures запускает новый фонд",2025-07-24,"Полная статья: Astana Ventures запускает новый фонд — подробности и аналитика.",active,
3,"PayFlow выходит на рынок Узбекистана","Краткое описание: PayFlow выходит на рынок Узбекистана",2025-07-23,"Полная статья: PayFlow выходит на рынок Узбекистана — подробности и аналитика.",active,
4,"HealthBridge внедряет AI в медицину","Краткое описание: HealthBridge внедряет AI в медицину",2025-07-22,"Полная статья: HealthBridge внедряет AI в медицину — подробности и аналитика.",active,
5,"AgroNext расширяет команду","Краткое описание: AgroNext расширяет команду",2025-07-21,"Полная статья: AgroNext расширяет команду — подробности и аналитика.",active,
6,"Steppe Capital инвестирует в EdTech","Краткое описание: Steppe Capital инвестирует в EdTech",2025-07-20,"Полная статья: Steppe Capital инвестирует в EdTech — подробности и аналитика.",active,
7,"UrbanAI открывает офис в Бишкеке","Краткое описание: UrbanAI открывает офис в Бишкеке",2025-07-19,"Полная статья: UrbanAI открывает офис в Бишкеке — подробности и аналитика.",active,
8,"Cloudify запускает облачный сервис","Краткое описание: Cloudify запускает облачный сервис",2025-07-18,"Полная статья: Cloudify запускает облачный сервис — подробности и аналитика.",active,
9,"HRBoost внедряет новые HR-технологии","Краткое описание: HRBoost внедряет новые HR-технологии",2025-07-17,"Полная статья: HRBoost внедряет новые HR-технологии — подробности и аналитика.",active,
10,"LegalMind запускает платформу для юристов","Краткое описание: LegalMind запускает платформу для юристов",2025-07-16,"Полная статья: LegalMind запускает платформу для юристов — подробности и аналитика.",active,
